0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000

0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.538,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.954,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.943,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.403,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.648,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.790
